timestamp,road_segment_id,average_speed_kph,day_of_week,hour_of_day
2025-08-01 00:00:00,segment_1,51.56,4,0
2025-08-01 00:00:00,segment_2,59.95,4,0
2025-08-01 00:00:00,segment_3,52.73,4,0
2025-08-01 00:00:00,segment_4,44.31,4,0
2025-08-01 00:00:00,segment_5,57.98,4,0
2025-08-01 00:00:00,segment_6,69.19,4,0
2025-08-01 00:00:00,segment_7,48.15,4,0
2025-08-01 00:00:00,segment_8,48.71,4,0
2025-08-01 00:00:00,segment_9,66.83,4,0
2025-08-01 00:00:00,segment_10,41.56,4,0
2025-08-01 01:00:00,segment_1,55.36,4,1
2025-08-01 01:00:00,segment_2,61.28,4,1
2025-08-01 01:00:00,segment_3,57.06,4,1
2025-08-01 01:00:00,segment_4,55.2,4,1
2025-08-01 01:00:00,segment_5,42.55,4,1
2025-08-01 01:00:00,segment_6,46.53,4,1
2025-08-01 01:00:00,segment_7,46.46,4,1
2025-08-01 01:00:00,segment_8,65.36,4,1
2025-08-01 01:00:00,segment_9,45.87,4,1
2025-08-01 01:00:00,segment_10,47.52,4,1
2025-08-01 02:00:00,segment_1,50.28,4,2
2025-08-01 02:00:00,segment_2,48.5,4,2
2025-08-01 02:00:00,segment_3,55.91,4,2
2025-08-01 02:00:00,segment_4,50.91,4,2
2025-08-01 02:00:00,segment_5,42.12,4,2
2025-08-01 02:00:00,segment_6,66.05,4,2
2025-08-01 02:00:00,segment_7,56.87,4,2
2025-08-01 02:00:00,segment_8,56.57,4,2
2025-08-01 02:00:00,segment_9,52.22,4,2
2025-08-01 02:00:00,segment_10,39.54,4,2
2025-08-01 03:00:00,segment_1,57.28,4,3
2025-08-01 03:00:00,segment_2,56.75,4,3
2025-08-01 03:00:00,segment_3,54.91,4,3
2025-08-01 03:00:00,segment_4,57.7,4,3
2025-08-01 03:00:00,segment_5,54.58,4,3
2025-08-01 03:00:00,segment_6,67.43,4,3
2025-08-01 03:00:00,segment_7,54.42,4,3
2025-08-01 03:00:00,segment_8,44.86,4,3
2025-08-01 03:00:00,segment_9,48.79,4,3
2025-08-01 03:00:00,segment_10,51.28,4,3
2025-08-01 04:00:00,segment_1,51.16,4,4
2025-08-01 04:00:00,segment_2,63.86,4,4
2025-08-01 04:00:00,segment_3,63.44,4,4
2025-08-01 04:00:00,segment_4,56.77,4,4
2025-08-01 04:00:00,segment_5,50.72,4,4
2025-08-01 04:00:00,segment_6,44.35,4,4
2025-08-01 04:00:00,segment_7,66.46,4,4
2025-08-01 04:00:00,segment_8,65.65,4,4
2025-08-01 04:00:00,segment_9,51.97,4,4
2025-08-01 04:00:00,segment_10,41.14,4,4
2025-08-01 05:00:00,segment_1,43.07,4,5
2025-08-01 05:00:00,segment_2,49.13,4,5
2025-08-01 05:00:00,segment_3,45.03,4,5
2025-08-01 05:00:00,segment_4,45.41,4,5
2025-08-01 05:00:00,segment_5,46.59,4,5
2025-08-01 05:00:00,segment_6,45.11,4,5
2025-08-01 05:00:00,segment_7,54.96,4,5
2025-08-01 05:00:00,segment_8,64.15,4,5
2025-08-01 05:00:00,segment_9,64.3,4,5
2025-08-01 05:00:00,segment_10,52.16,4,5
2025-08-01 06:00:00,segment_1,48.05,4,6
2025-08-01 06:00:00,segment_2,68.36,4,6
2025-08-01 06:00:00,segment_3,45.0,4,6
2025-08-01 06:00:00,segment_4,62.62,4,6
2025-08-01 06:00:00,segment_5,51.76,4,6
2025-08-01 06:00:00,segment_6,47.54,4,6
2025-08-01 06:00:00,segment_7,43.71,4,6
2025-08-01 06:00:00,segment_8,49.03,4,6
2025-08-01 06:00:00,segment_9,50.4,4,6
2025-08-01 06:00:00,segment_10,63.9,4,6
2025-08-01 07:00:00,segment_1,26.76,4,7
2025-08-01 07:00:00,segment_2,30.23,4,7
2025-08-01 07:00:00,segment_3,24.18,4,7
2025-08-01 07:00:00,segment_4,15.74,4,7
2025-08-01 07:00:00,segment_5,19.06,4,7
2025-08-01 07:00:00,segment_6,17.79,4,7
2025-08-01 07:00:00,segment_7,15.4,4,7
2025-08-01 07:00:00,segment_8,20.74,4,7
2025-08-01 07:00:00,segment_9,17.71,4,7
2025-08-01 07:00:00,segment_10,15.86,4,7
2025-08-01 08:00:00,segment_1,24.01,4,8
2025-08-01 08:00:00,segment_2,20.94,4,8
2025-08-01 08:00:00,segment_3,30.18,4,8
2025-08-01 08:00:00,segment_4,27.48,4,8
2025-08-01 08:00:00,segment_5,19.88,4,8
2025-08-01 08:00:00,segment_6,13.27,4,8
2025-08-01 08:00:00,segment_7,20.53,4,8
2025-08-01 08:00:00,segment_8,23.17,4,8
2025-08-01 08:00:00,segment_9,21.33,4,8
2025-08-01 08:00:00,segment_10,24.67,4,8
2025-08-01 09:00:00,segment_1,22.05,4,9
2025-08-01 09:00:00,segment_2,26.21,4,9
2025-08-01 09:00:00,segment_3,21.05,4,9
2025-08-01 09:00:00,segment_4,26.81,4,9
2025-08-01 09:00:00,segment_5,14.34,4,9
2025-08-01 09:00:00,segment_6,23.35,4,9
2025-08-01 09:00:00,segment_7,19.86,4,9
2025-08-01 09:00:00,segment_8,13.71,4,9
2025-08-01 09:00:00,segment_9,12.42,4,9
2025-08-01 09:00:00,segment_10,13.06,4,9
2025-08-01 10:00:00,segment_1,29.81,4,10
2025-08-01 10:00:00,segment_2,29.06,4,10
2025-08-01 10:00:00,segment_3,48.38,4,10
2025-08-01 10:00:00,segment_4,28.19,4,10
2025-08-01 10:00:00,segment_5,45.48,4,10
2025-08-01 10:00:00,segment_6,28.8,4,10
2025-08-01 10:00:00,segment_7,45.1,4,10
2025-08-01 10:00:00,segment_8,38.34,4,10
2025-08-01 10:00:00,segment_9,33.4,4,10
2025-08-01 10:00:00,segment_10,25.82,4,10
2025-08-01 11:00:00,segment_1,40.76,4,11
2025-08-01 11:00:00,segment_2,32.6,4,11
2025-08-01 11:00:00,segment_3,25.02,4,11
2025-08-01 11:00:00,segment_4,30.17,4,11
2025-08-01 11:00:00,segment_5,34.34,4,11
2025-08-01 11:00:00,segment_6,39.74,4,11
2025-08-01 11:00:00,segment_7,45.46,4,11
2025-08-01 11:00:00,segment_8,51.19,4,11
2025-08-01 11:00:00,segment_9,34.28,4,11
2025-08-01 11:00:00,segment_10,31.81,4,11
2025-08-01 12:00:00,segment_1,45.01,4,12
2025-08-01 12:00:00,segment_2,33.95,4,12
2025-08-01 12:00:00,segment_3,34.85,4,12
2025-08-01 12:00:00,segment_4,38.42,4,12
2025-08-01 12:00:00,segment_5,41.83,4,12
2025-08-01 12:00:00,segment_6,24.95,4,12
2025-08-01 12:00:00,segment_7,29.69,4,12
2025-08-01 12:00:00,segment_8,37.81,4,12
2025-08-01 12:00:00,segment_9,36.57,4,12
2025-08-01 12:00:00,segment_10,36.89,4,12
2025-08-01 13:00:00,segment_1,34.99,4,13
2025-08-01 13:00:00,segment_2,44.2,4,13
2025-08-01 13:00:00,segment_3,43.35,4,13
2025-08-01 13:00:00,segment_4,39.68,4,13
2025-08-01 13:00:00,segment_5,26.57,4,13
2025-08-01 13:00:00,segment_6,32.24,4,13
2025-08-01 13:00:00,segment_7,48.27,4,13
2025-08-01 13:00:00,segment_8,39.96,4,13
2025-08-01 13:00:00,segment_9,26.71,4,13
2025-08-01 13:00:00,segment_10,29.38,4,13
2025-08-01 14:00:00,segment_1,39.67,4,14
2025-08-01 14:00:00,segment_2,39.12,4,14
2025-08-01 14:00:00,segment_3,37.25,4,14
2025-08-01 14:00:00,segment_4,28.89,4,14
2025-08-01 14:00:00,segment_5,39.94,4,14
2025-08-01 14:00:00,segment_6,43.04,4,14
2025-08-01 14:00:00,segment_7,47.43,4,14
2025-08-01 14:00:00,segment_8,34.47,4,14
2025-08-01 14:00:00,segment_9,36.18,4,14
2025-08-01 14:00:00,segment_10,32.21,4,14
2025-08-01 15:00:00,segment_1,33.76,4,15
2025-08-01 15:00:00,segment_2,35.6,4,15
2025-08-01 15:00:00,segment_3,28.3,4,15
2025-08-01 15:00:00,segment_4,37.45,4,15
2025-08-01 15:00:00,segment_5,32.95,4,15
2025-08-01 15:00:00,segment_6,46.31,4,15
2025-08-01 15:00:00,segment_7,34.47,4,15
2025-08-01 15:00:00,segment_8,32.01,4,15
2025-08-01 15:00:00,segment_9,27.26,4,15
2025-08-01 15:00:00,segment_10,38.59,4,15
2025-08-01 16:00:00,segment_1,40.15,4,16
2025-08-01 16:00:00,segment_2,39.23,4,16
2025-08-01 16:00:00,segment_3,39.98,4,16
2025-08-01 16:00:00,segment_4,33.97,4,16
2025-08-01 16:00:00,segment_5,29.62,4,16
2025-08-01 16:00:00,segment_6,43.46,4,16
2025-08-01 16:00:00,segment_7,30.92,4,16
2025-08-01 16:00:00,segment_8,33.67,4,16
2025-08-01 16:00:00,segment_9,28.37,4,16
2025-08-01 16:00:00,segment_10,40.09,4,16
2025-08-01 17:00:00,segment_1,15.93,4,17
2025-08-01 17:00:00,segment_2,13.87,4,17
2025-08-01 17:00:00,segment_3,16.97,4,17
2025-08-01 17:00:00,segment_4,21.76,4,17
2025-08-01 17:00:00,segment_5,22.84,4,17
2025-08-01 17:00:00,segment_6,20.69,4,17
2025-08-01 17:00:00,segment_7,24.09,4,17
2025-08-01 17:00:00,segment_8,16.54,4,17
2025-08-01 17:00:00,segment_9,20.59,4,17
2025-08-01 17:00:00,segment_10,21.08,4,17
2025-08-01 18:00:00,segment_1,21.87,4,18
2025-08-01 18:00:00,segment_2,21.58,4,18
2025-08-01 18:00:00,segment_3,17.01,4,18
2025-08-01 18:00:00,segment_4,22.01,4,18
2025-08-01 18:00:00,segment_5,21.74,4,18
2025-08-01 18:00:00,segment_6,23.7,4,18
2025-08-01 18:00:00,segment_7,14.26,4,18
2025-08-01 18:00:00,segment_8,25.72,4,18
2025-08-01 18:00:00,segment_9,18.64,4,18
2025-08-01 18:00:00,segment_10,24.39,4,18
2025-08-01 19:00:00,segment_1,15.78,4,19
2025-08-01 19:00:00,segment_2,19.07,4,19
2025-08-01 19:00:00,segment_3,26.99,4,19
2025-08-01 19:00:00,segment_4,19.96,4,19
2025-08-01 19:00:00,segment_5,15.89,4,19
2025-08-01 19:00:00,segment_6,16.4,4,19
2025-08-01 19:00:00,segment_7,23.77,4,19
2025-08-01 19:00:00,segment_8,22.03,4,19
2025-08-01 19:00:00,segment_9,28.29,4,19
2025-08-01 19:00:00,segment_10,21.47,4,19
2025-08-01 20:00:00,segment_1,53.34,4,20
2025-08-01 20:00:00,segment_2,42.49,4,20
2025-08-01 20:00:00,segment_3,53.93,4,20
2025-08-01 20:00:00,segment_4,67.92,4,20
2025-08-01 20:00:00,segment_5,50.64,4,20
2025-08-01 20:00:00,segment_6,50.49,4,20
2025-08-01 20:00:00,segment_7,39.41,4,20
2025-08-01 20:00:00,segment_8,48.05,4,20
2025-08-01 20:00:00,segment_9,49.82,4,20
2025-08-01 20:00:00,segment_10,63.98,4,20
2025-08-01 21:00:00,segment_1,61.64,4,21
2025-08-01 21:00:00,segment_2,57.91,4,21
2025-08-01 21:00:00,segment_3,46.93,4,21
2025-08-01 21:00:00,segment_4,58.27,4,21
2025-08-01 21:00:00,segment_5,42.46,4,21
2025-08-01 21:00:00,segment_6,61.79,4,21
2025-08-01 21:00:00,segment_7,48.84,4,21
2025-08-01 21:00:00,segment_8,69.26,4,21
2025-08-01 21:00:00,segment_9,50.95,4,21
2025-08-01 21:00:00,segment_10,41.0,4,21
